Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Predicted_Order_Profit
4423,CA-2020-159464,18-05-20,19-05-20,First Class,TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,South,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",103.24,2,4.4824,0,COD,10.055439422473302
8184,CA-2020-155642,18-05-20,22-05-20,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Chicago,Illinois,Central,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,105.892,1,-0.9933,0,Online,10.055439422473302
8183,CA-2020-155642,18-05-20,22-05-20,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Chicago,Illinois,Central,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,146.608,3,-10.1736,0,COD,10.055439422473302
3941,CA-2020-117863,18-05-20,23-05-20,Standard Class,TS-21340,Toby Swindell,Consumer,United States,New York City,New York,East,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",112.56,2,6.2608,0,Cards,10.055439422473302
4427,CA-2020-159464,18-05-20,19-05-20,First Class,TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,South,TEC-PH-10002350,Technology,Phones,Apple EarPods with Remote and Mic,149.98,2,15.6744,0,COD,10.055439422473302
2844,CA-2020-112865,18-05-20,22-05-20,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-AC-10000387,Technology,Accessories,KeyTronicÊKT800P2 -ÊKeyboardÊ- Black,133.048,3,-0.9012,1,Online,1.9701198019801984
4425,CA-2020-159464,18-05-20,19-05-20,First Class,TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,South,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,129.75,5,15.6375,0,Online,10.055439422473302
5224,CA-2020-117401,18-05-20,22-05-20,Second Class,PP-18955,Paul Prost,Home Office,United States,Springfield,Missouri,Central,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",160.19,7,20.7312,0,Cards,10.055439422473302
5939,CA-2020-122077,19-05-20,25-05-20,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Plano,Texas,Central,TEC-PH-10003811,Technology,Phones,Jabra Supreme Plus Driver EditionÊHeadset,105.992,1,9.5992,0,Online,1.9701198019801984
628,CA-2020-153787,19-05-20,23-05-20,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Seattle,Washington,West,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,139.16,2,28.1764,0,Cards,1.9701198019801984
6369,US-2020-147998,19-05-20,24-05-20,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,San Jose,California,West,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,172.12,5,49.92,1,COD,40.282084165232334
5053,US-2020-120607,19-05-20,19-05-20,Same Day,JC-15775,John Castell,Consumer,United States,Atlanta,Georgia,South,OFF-PA-10003129,Office Supplies,Paper,Tops White Computer Printout Paper,206.64,4,91.9508,0,Online,40.282084165232334
2862,CA-2020-138975,19-05-20,23-05-20,Standard Class,SC-20380,Shahid Collister,Consumer,United States,Atlanta,Georgia,South,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,298.93,7,140.5957,0,COD,40.282084165232334
715,US-2020-100048,19-05-20,24-05-20,Standard Class,RS-19765,Roland Schwarz,Corporate,United States,Mount Vernon,New York,East,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,311.97,3,113.9886,0,Cards,40.282084165232334
