PaymentDate,OrderNumber,CustomerType,CustomerName,BranchSubCounty,BranchCounty,ProductName,ProductCategoryName,QuantityOrdered,CostOfProductionPerUnit,SellingPricePerUnit,ProfitPerUnit,PercentageProfitPerUnit
01-07-25,67,Individual,Pierrette Yusuf,Nyali,Mombasa,Mahamri,Sweet Snacks/Desserts,2,5,20,15,300
01-07-25,67,Individual,Pierrette Yusuf,Nyali,Mombasa,Maharagwe na Wali,Legume-Based Dishes,3,30,60,30,100
01-07-25,248,Individual,Felix Kabongo,Nyeri Central,Nyeri,Ugali,Staple Foods,5,10,20,10,100
01-07-25,248,Individual,Felix Kabongo,Nyeri Central,Nyeri,Firfir,African Cultural Specials,7,30,70,40,133.33
01-07-25,332,Business,[Business] Swahili Suites,Westlands,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,3,30,70,40,133.33
01-07-25,332,Business,[Business] Swahili Suites,Westlands,Nairobi,Nyama na Wali,Meat-Based Dishes,4,100,200,100,100
01-07-25,332,Business,[Business] Swahili Suites,Westlands,Nairobi,Egusi Soup,Combination Plates,8,40,80,40,100
01-07-25,390,Business,[Business] Voyager Palace,Kibra,Nairobi,Bunny Chow,Combination Plates,1,40,80,40,100
01-07-25,390,Business,[Business] Voyager Palace,Kibra,Nairobi,Nyama na Chapati,Meat-Based Dishes,7,100,200,100,100
01-07-25,552,Individual,Pierre Abdullahi,Makadara,Nairobi,Nyama na Maharagwe,Meat-Based Dishes,3,100,200,100,100
01-07-25,640,Business,[Business] Hemingways Inn,Kamukunji,Nairobi,Wali wa Pilau,Rice Dishes,2,30,70,40,133.33
01-07-25,640,Business,[Business] Hemingways Inn,Kamukunji,Nairobi,Kuku na Maharagwe,Meat-Based Dishes,1,100,200,100,100
01-07-25,640,Business,[Business] Hemingways Inn,Kamukunji,Nairobi,Banku,Combination Plates,7,30,70,40,133.33
01-07-25,1129,Individual,Jacques Zuma,Kasarani,Nairobi,Viazi Karai,Fried Dishes,2,10,30,20,200
01-07-25,1592,Individual,Joseph Munyuli,Embakasi,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,3,30,70,40,133.33
01-07-25,1592,Individual,Joseph Munyuli,Embakasi,Nairobi,Kuku na Matoke,Meat-Based Dishes,3,100,200,100,100
01-07-25,2050,Business,[Business] Neptune Manor,Ruaraka,Nairobi,Nyama na Chapati,Meat-Based Dishes,4,100,200,100,100
01-07-25,2148,Business,[Business] Hemingways Hotel,Langata,Nairobi,Waakye,Combination Plates,4,30,70,40,133.33
01-07-25,2148,Business,[Business] Hemingways Hotel,Langata,Nairobi,Maharagwe na Wali,Legume-Based Dishes,8,30,60,30,100
01-07-25,2148,Business,[Business] Hemingways Hotel,Langata,Nairobi,Chechebsa,African Cultural Specials,4,20,50,30,150
01-07-25,2382,Business,[Business] Neptune Manor,Embakasi,Nairobi,Maharagwe na Matoke,Legume-Based Dishes,1,30,60,30,100
01-07-25,2382,Business,[Business] Neptune Manor,Embakasi,Nairobi,Vetkoek,Sweet Snacks/Desserts,5,20,50,30,150
01-07-25,2382,Business,[Business] Neptune Manor,Embakasi,Nairobi,Firfir,African Cultural Specials,7,30,70,40,133.33
01-07-25,2756,Individual,Wanjiku Omondi,Nyali,Mombasa,Wali wa Nazi na Maharagwe,Rice Dishes,5,30,70,40,133.33
01-07-25,3203,Individual,Pierrette Hassan,Nakuru Town East,Nakuru,Bunny Chow,Combination Plates,6,40,80,40,100
01-07-25,3203,Individual,Pierrette Hassan,Nakuru Town East,Nakuru,Mutura,Meat-Based Dishes,6,70,150,80,114.29
01-07-25,3224,Business,[Business] Swahili Haven,Westlands,Nairobi,Maharagwe,Legume-Based Dishes,7,30,60,30,100
01-07-25,3318,Individual,Alaine Hassan,Embakasi,Nairobi,Egusi Soup,Combination Plates,3,40,80,40,100
01-07-25,3504,Individual,Wanjiku Kabongo,Kamukunji,Nairobi,Mahamri,Sweet Snacks/Desserts,8,5,20,15,300
01-07-25,3504,Individual,Wanjiku Kabongo,Kamukunji,Nairobi,Doro Wat,African Cultural Specials,5,150,300,150,100
01-07-25,3739,Business,[Business] Swahili Manor,Kasarani,Nairobi,Kuku na Ugali,Meat-Based Dishes,1,100,200,100,100
