PaymentDate,OrderNumber,CustomerName,BranchSubCounty,BranchCounty,ProductName,CategoryName,QuantityOrdered,CostOfProductionPerUnit,SellingPricePerUnit,ProfitPerUnit,PercentageProfitPerUnit
2021-01-10,2132,[Business] Severin Retreat,Makadara,Nairobi,Nyama na Matoke,Meat-Based Dishes,1,100.00,200.00,100.00,100.00
2021-01-10,2132,[Business] Severin Retreat,Makadara,Nairobi,Vetkoek,Sweet Snacks/Desserts,4,20.00,50.00,30.00,150.00
2021-01-10,2132,[Business] Severin Retreat,Makadara,Nairobi,Matoke na Sukuma,Soup/Stew Dishes,2,30.00,70.00,40.00,133.33
2021-01-17,2238,[Business] Swahili Hotel,Kamukunji,Nairobi,Shiro,African Cultural Specials,6,30.00,70.00,40.00,133.33
2021-01-17,2238,[Business] Swahili Hotel,Kamukunji,Nairobi,Maharagwe na Wali,Legume-Based Dishes,1,30.00,60.00,30.00,100.00
2021-02-05,1884,[Business] InterContinental Retreat,Roy Sambu,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,6,30.00,60.00,30.00,100.00
2021-02-05,1884,[Business] InterContinental Retreat,Roy Sambu,Nairobi,Kuku na Wali,Meat-Based Dishes,7,100.00,200.00,100.00,100.00
2021-02-05,1884,[Business] InterContinental Retreat,Roy Sambu,Nairobi,Maharagwe na Matoke,Legume-Based Dishes,1,30.00,60.00,30.00,100.00
2021-02-18,152,Emmanuel Mugabe,Kibra,Nairobi,Suya,Combination Plates,1,50.00,100.00,50.00,100.00
2021-02-18,152,Emmanuel Mugabe,Kibra,Nairobi,Supu ya Nyama na Wali,Soup/Stew Dishes,6,70.00,150.00,80.00,114.29
2021-02-22,5494,[Business] Diani Palace,Langata,Nairobi,Kuku na Chapati,Meat-Based Dishes,2,100.00,200.00,100.00,100.00
2021-02-22,5494,[Business] Diani Palace,Langata,Nairobi,Samosa,Fried Dishes,3,20.00,50.00,30.00,150.00
2021-02-22,5494,[Business] Diani Palace,Langata,Nairobi,Gomen,African Cultural Specials,2,20.00,50.00,30.00,150.00
2021-02-24,1699,Pierrette Munyuli,Kasarani,Nairobi,Supu ya Kuku,Soup/Stew Dishes,3,70.00,150.00,80.00,114.29
2021-02-27,2135,[Business] Leopard Beach Retreat,Mathare,Nairobi,Kuku na Maharagwe,Meat-Based Dishes,1,100.00,200.00,100.00,100.00
2021-03-01,5072,Emmanuel Yusuf,Kasarani,Nairobi,Omena,Fish Dishes,2,30.00,70.00,40.00,133.33
2021-03-03,2538,Kamau Njoroge,Dagoretti,Nairobi,Maharagwe na Wali,Legume-Based Dishes,4,30.00,60.00,30.00,100.00
2021-03-11,2195,Kiptoo Munyui,Starehe,Nairobi,Boerewors,Combination Plates,7,50.00,100.00,50.00,100.00
2021-03-11,2195,Kiptoo Munyui,Starehe,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,2,30.00,60.00,30.00,100.00
